company_id,user_id,timestamp_utc,ip_address,device_id,os,browser,login_success,asn,ip_reputation,ip_vpn_tor,num_distinct_devices_last30d,failed_attempts_last_10m,hours_since_prev_login,distance_from_prev_login_km,speed_kmh,dist_from_user_login,prediction,risk_score,reasons
instabook,user0126,2025-08-27 15:43:00,106.221.201.140,53f5129f-940b-4bac-81ca-0912b76515e3,Android,Chrome,0,AS13335,0,0,3,2,38.89,8.452,0.22,4.077,0,0,Normal: baseline behaviour (risk 0)
facegram,user0249,2025-08-15 10:29:00,115.98.63.211,ef06e5bd-98d8-4e21-a79e-6a9c78de0972,Android,Chrome,0,AS174,0,0,2,3,15.44,12.796,0.82,43.17,0,25,Sudden OS/Browser change during failed attempts
instabook,user0046,2025-08-26 16:49:00,182.72.95.90,f3ad84fb-6982-4b78-8756-220f45c0ab03,macOS,Firefox,1,AS13335,2,0,4,0,13.0,30.834,2.35,12.81,0,25,Suspicious IP / VPN detected
instabook,user0252,2025-08-25 20:05:00,182.68.177.35,99888ec1-a2de-4269-9d82-539ea895c5e2,Windows 10,Edge,0,AS55836,2,0,4,2,9.02,29.218,3.2,2.885,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
instabook,user0144,2025-08-11 20:49:00,49.37.239.250,80c6bded-1314-4a8c-870e-21a1c2a1477e,macOS,Chrome,0,AS3356,2,0,2,2,29.23,25.531,0.87,39.285,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
facegram,user0415,2025-08-16 05:23:00,49.63.251.230,b344d484-3373-47ae-8699-b1838df2e41e,Android,Chrome,1,AS174,0,0,3,0,40.23,0.654,0.02,3.822,0,5,Unusual login time
facegram,user0196,2025-08-06 05:01:00,106.208.140.106,15e40187-6765-4b4f-9b76-e76ae54a5698,Linux,Firefox,0,AS9498,0,0,3,2,26.74,19.083,0.71,19.391,0,30,Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0437,2025-08-28 03:05:00,182.74.118.145,ae31f12d-2db6-4760-bcb0-72b4310b2d1a,Linux,Edge,0,AS13335,0,0,1,3,47.97,14.21,0.3,33.436,0,30,Unusual login time; Sudden OS/Browser change during failed attempts
instabook,user0197,2025-08-16 08:07:00,117.221.216.211,a7c66e92-a2e5-4bb6-8f88-12f14fe3f0b5,iOS,Chrome,1,AS9498,2,0,2,0,26.16,20.529,0.78,21.677,0,25,Suspicious IP / VPN detected
facegram,user0020,2025-08-30 16:54:00,117.225.238.106,f2ea83e8-1b2e-40d1-835e-293c3fff6400,Windows 11,Safari,0,AS174,2,0,5,3,39.01,7.047,0.18,47.79,0,50,Suspicious IP / VPN detected; Sudden OS/Browser change during failed attempts
